stars,comment
5.0 out of 5 stars,"







  
  
    This is the second time I bought this.  I had bought for my daughter and now I got this to gift it to a toddler.  Very good product.  My neighbor kids also come to my hiymuse just to play with those books.  Really engaging for the kids.  My daughter loves those.  And I have these since my daughter was 10 months old  n she is 2 years old now still play with those books.  Has learned many things.
  
"
5.0 out of 5 stars,"







  
  
    Palm sized board books for babies .. easy to hold and no worry of torn pages. The categories and pictures will interest my kid to go through them. It’s bright and colourful.
  
"
5.0 out of 5 stars,"







  
  
    Bought this for my 1.5 year old boy. He loves these books! We read these everyday and he doesn't get bored looking through the same books over and over again (especially the transport book!). He's already learning and recognizing so many new things. This is such a healthy distraction from cartoons/mobile/TV.Pros:- board books, so will not tear bend easily- rounded edges, will not hurt the child- colourful clear images on every page- 10 topics, so lots to learn- pocket size, so easy to carry aroundLovely set of books to keep your child engaged. I've ordered the second set as well!
  
"
5.0 out of 5 stars,"







  
  
    1. Nice Packaging & Timely delivery.2. The content & presentation is good, kids would love going through the books. It will surely aid in their learning process.3. The books are robust, it will withstand the rough handling by the l'il champs.4. Just the size of the books may disapppint you. But overall it is value for money.
  
"
5.0 out of 5 stars,"







  
  
    I bought this book a few days ago,when I received it I was amazed to see the quality,the round edges,glossy finish,naturalization,color,size,combination well though out book for children definitely a buy if you children at home,any children loving parents would love it,it is the best alternative of mobile phones,children love it,learn from reading books.Seller part.The image is a bit mis-leading it looks like A4,but actually it is smaller than post card size. I think seller should change the images shown on Amazon website.Amazon is always the best in delivering the item in well packed and on time.Thank you,For making your customers smiling like your company log.
  
"
3.0 out of 5 stars,"







  
  
    Actually product quality is good but problem is in every picture their is similarity or repetition of pictures for eg in fruits u normally get to see fruits thats right but in numerical again fruits are repeated so the basic concern is grasping gets confusing for child as vocal sounds are different for same picture ie- 1 numb you see one apple and so on so if that is being rectified the product can be eligible for 5 star. Minor things but it has a huge impact
  
"
5.0 out of 5 stars,"







  
  
    These books are really good with colourful pictures. These are board books means hard cardboard like books, cannot be torn easily by kids.Caution if the kids throw the book on us it will hurt us badly😄, books are really good, must buy for toddlers, kids gets attracted To it
  
"
5.0 out of 5 stars,"







  
  
    Glad to have picked a cloudtail product for my baby..Excellent as always..delivered with perfection...no complaints...saved me time and money 💰..I hope cloudtail and Amazon will be around when my baby grows up and begins to shop online...Thanks for everything..
  
"
5.0 out of 5 stars,"







  
  
    These books are great. Kid loves them and asks parents to read the books to him everyday. It’s hard for kids to tear these books. And books are small making them easy to carry. You can just pop a book in your pocket while taking your kid out 😀
  
"
5.0 out of 5 stars,"







  
  
    This product was a value for money , with good apt learing information for a baby. Good quality and each page has one figures which makes is easy for a baby to point out or remember. Love these books, they are so easy to carry few to keep a toddler engaged during travel, etc. They like to arrange and pull out the books from the box.
  
"
3.0 out of 5 stars,"







  
  
    It is toooooo small. Not as given above. The dimensions are not as mentioned in the product description. Have attached pictures of the same with dimensions. Giving 3 stars for the quality of the product. Please change the picture. It is misleading. Returns are also not allowed. I would have bought a bigger one.
  
"
5.0 out of 5 stars,"







  
  
    In this price you will get a set of 10 basic books which are super good for your kids who are growing up. I gave it to my nephew who is only  1.4 year old. He loves it. He keeps Playing with it for an hour and he started recognising animals and fruits. So worth buying it
  
"
5.0 out of 5 stars,"







  
  
    It is a perfect gift for my 1.8year old baby.Liked a lot and play with it and start finding the content in it .........I saw some users reviewing here about size of the book...for them i must say these library books are for 1-3year old kids not for the adults to use....
  
"
5.0 out of 5 stars,"







  
  
    Go for this without any second thoughts. Book It's on exact size it needs to be. Very easy to carry with infants around. Sturdy. Hard covers. Pictures are real and in white background without any deviation. My baby enjoys seeing it. Good though of having all the basic topics n a single nutshell.The only con I would say is we see few repetitive objects across all the books. I e Brocolli n vegetables and in Green colour as well. This might be corrected to include as many new words/ pictures as possible. Otherwise great buy. No regrets.
  
"
1.0 out of 5 stars,"







  
  
    The book has very foolish content for small kids of 2, 3, 4 yrs young kids. They are showing blue color parrot, they show animals guiana pig which is rarely found, they show i for igloo, q for quilt , etc etc so many most difficult animals and birds names which are rarelynused in day to day life and very difficult to learn for 3 yrs old kids. They should have given some daily used content so that kids can easily remember and can use in their day to day life.
  
"
5.0 out of 5 stars,"







  
  
    A simple book series with a picture and word per page (except for the abc book's last few crowded pages). A child can learn and improve his/her vocabulary with this series. The pages are completely worn out due to heavy usage almost everyday. A warning for the parents!!!. Be prepared to read this book again and agian with your baby since they may ask for you to read them every single day for more than five to six times!!! For a complete look of the set visit my YouTube channel - gforgratitude, i have fliped through the pages from the whole set.A small thing that i found is that, there are two styles of this book series, with same content but in a different font and picture layout style. So, you may get a random set.
  
"
5.0 out of 5 stars,"







  
  
    we bough first set of the same series & we figured that they released second set as well. So, we bought this one without any second thought!We bought it for 350 inr thanks to amazon. Books are just perfect for your small kid. They will play with them as small objects initially & then eventually they will start learning to turn on pages & see different images which are of good color quality. When they grow up, the same set of book will serve as good vocabulary source for learning.
  
"
4.0 out of 5 stars,"


















    
        

        
        
            
        

        
            
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
        
    
    








  
  
     I really like these board books. Firstly, my 20 months kid can't tear these books. He can touch and feel in his own way.Secondly, these books are designed perfectly for the new learners. All pictures have white background which helps our kid to learn fast.
  
"
4.0 out of 5 stars,"







  
  
    This set of 10 books is what my three-year-old always asks for, everytime I open my cupboard. This package includes a set of 10 pocket sized cardboard books, one each for fruits, vegetables, modes of transport, wildlife, domestic animals,birds, shapes, colors, numbers, and A to Z. The pics are crystal clear, bright and attractive. Overall quality of the book is worth spending your bucks!The only two negative things I found is that the book consists of all things American. I doubt if parents in India will be able to relate to many fruits, veggies, animals shown in this book, which are not found in India. Can't blame the publisher, as the book set is imported from US.Secondly, I thought the book is of full size, of around the size of an A4 page, but the package arrived too small. It is infact pocket sized books for kids. Otherwise, truly a delight for the little ones to learn while they play! Thumbs Up!
  
"
3.0 out of 5 stars,"







  
  
    These are RS. 40 each in loose and a pack of 100 would have costed me only RS. 400/- but still, as I had to gift it I thought of buying as this set comes with hard bound case for easy storage and display.To my disappointment the case is torn on sides and now I will have to repair it before gifting. BOOK ARE REALLY GOOD, BUT AGAIN U CAN EASILY FJND THEM IN ANY OF YOUR NEARBY TOY STORE.
  
"
5.0 out of 5 stars,"







  
  
    I have well researched many books & concluded to this one.  I got it for 399 from amazon. Colors are just perfect. You might get feeling that books are small in size. But if you carefully research , all board books are of this size.Books are very well designed. Corners are kept rounded to avoid accidental hurting to your baby. Content is well researched as well... What more!
  
"
5.0 out of 5 stars,"







  
  
    Kids are visual learners and ever since I bough this for my 2.5 year old daughter, she always keeps bringing these books and eagerly enquires about the contents.She learned the names of animals and colours fast, thanks to this library. All you need to do is have patience as kids tend to repeatedly ask the same question multiple times about same item :D
  
"
5.0 out of 5 stars,"







  
  
    Delivery was on time packaging was excellent the Board books are of superb quality came in a card bird box there are 10 books each of which is very nice in terms of quality and colour go for it your baby’s will love it
  
"
4.0 out of 5 stars,"







  
  
    It’s a cute collection, but I wasn’t expexting the size of the book to be this small . But still the books are awesome.  Have 12 leaflets in all the book
  
"
1.0 out of 5 stars,"







  
  
    Books are way to small for a child to learn. Because a 1 or 2 year old child needs to see bigger pictures in order to understand everything. One should buy individual books rather than this library. A big no this.Hope you all find this helpful!
  
"
5.0 out of 5 stars,"


















    
        

        
        
            
        

        
            
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
        
    
    








  
  
     an excellent set of initial basic things for a child to learn and it is got multiple pages also inside each book I am really impressed. However wait a little before you buy these books, my child is six months old and as with every other thing he was trying to eat this book as well. 🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️ But I am keeping the box anyways. 🤷🏻‍♀️🙋🏻‍♀️💁🏻‍♀️
  
"
5.0 out of 5 stars,"







  
  
    I really liked the books. My 4 month old baby really likes to see the images. Also its travel friendly. I prefer to show him books rather than engaging him with mobile phone.
  
"
5.0 out of 5 stars,"







  
  
    I loved the product so much..maybe more than my 1.5 year old daughter😜😁Of course she loved it...The quality of the books are so much high on the mark... The content is so much appealing and informative for age till 3or4...so it can be used for long time.. Even though I was a bit apprehensive of the cost..I realize that The books are worth every penny...
  
"
5.0 out of 5 stars,"







  
  
    Amazing book for pre schoolers..a must buy...
  
"
5.0 out of 5 stars,"







  
  
    Writing this review after 3 months of usage. Very rugged, well build and strong board books. My 9 moth old son (back then) llhad literally abused them to greater lengths but they still are intact. Minor bends here and there which are not uncommon. My son has chewed, poured water, stood on them, Tried to press against the Binding and what not. They still are running strong. The books seem water resistant if not water proof. Coming to the content, they are clear and vibrant. My son has learnt a lot in the last six months. One tip is to read the books to your kids atleast 15 to 20 min every day. They will develop the back of glancing or reading these board books. Can't be more happy. One of the best purchases
  
"
5.0 out of 5 stars,"







  
  
    If you are reading this space then I would highly recommend you to buy this set. It is so engaging for little babies. With its small size, babies can hold it perfectly and can flip through the pages and can be engrossed in so many varieties of topics.
  
"
5.0 out of 5 stars,"







  
  
    I bought this for my 13 month old son who has just recently shown tendencies to read his books and not chew on them or tear them apart.When I unwrapped the set of books, I felt disappointed as they were smaller in size than I had assumed. But within minutes, I realised that the size was perfect for my son. We spent 40 minutes right away browsing through all the books. Getting that kind of attention span from my son very active son isn't easy usually.Quality and colours are really good. Easy to carry. This book set is a must buy.
  
"
4.0 out of 5 stars,"







  
  
    The book box is really good. Initially, my daughter kept playing with it to remove the book and put it back.The book's classification is well thought to give a kid a flavor of different things to visualize. There are minor pictures which could have been done better - such as having pictures of things which we Indians can visualize, and for Nest word, the picture is of a nest with big eggs and everyone's eyes will go on eggs rather than a nest. Anyway, this is quite a minor issue which we will observe in any best books. The book size is small which is just to know before buying but handly for a kid. Overall the quality of information, book, and book box quality make it work buying for a 2-3 years kid.
  
"
1.0 out of 5 stars,"







  
  
    499 is far too much for 10 tiny books.  The books are not very strong also, a baby can easily tear them apart
  
"
4.0 out of 5 stars,"







  
  
    Bought this set of board books for my daughterVery handy for her learning basic stuffsEven though my area is lockdown & free neighbouring areas are sealed, Amazon delivered the product on time as promisedLooked the product very muchThough my daughter is yet to learn all the stuffs she seems too happy to get thisOne Star is reserved for a month long usage & durability test
  
"
5.0 out of 5 stars,"







  
  
    It's very good as a first book for your baby. They are colourful, hard and durable. This is good choice for small babies, because they first chew , taste everything.  These books are sturdy, even if your baby chews, bites ,it is not affected. Remain in the original form
  
"
5.0 out of 5 stars,"







  
  
    My 2 yrs old son absolutely love these books. He started saying A, B, C faster than expected. We have now started Numbers and Colors.Quality of this book is good, not easy to tear off. That's most important because children handle books roughly. Size wise book fits inside palm. So easy to carry in bag in case you want to keep children occupied
  
"
5.0 out of 5 stars,"







  
  
    The book is nice and I bought it for my year toddler he enjoyed it and developed a liking for it, by just asking him to bring his books he could signal for the library but after a month instead of looking at the books he started nibbling on it, as the books are hardbound he was able to swallow the cardboard making the edges soggy. I have to keep it away now. I try interacting with him orally but somehow I want him to get acquainted with books. The only thing I wish was if the books were washable.
  
"
3.0 out of 5 stars,"







  
  
    It is as shown in image. Quality of the book is good, they are board books so not tearable. Shapes, vegetables, transport & colors books cannot be used now as my daughter is just turning a year old but can be used later. In the books for eg. Animal books animals like llama in bird book emu, hornbill; how can 1 year old understand that, books should be simpler for them to understand. I think buying all the books is not needed at once.
  
"
4.0 out of 5 stars,"







  
  
    I like the size and quality of the books. My 1-year-old daughter likes to read them every day.Cons:P for Pizza?  seriously??  :P  its okay for now though.
  
"
4.0 out of 5 stars,"







  
  
    Good content, thick pages, Variety of topics & pictures. Easy for a leaner child to understand. Will definitely guide to learn. I got two pages repeating & wrong picture like vehicle pictures on farm animal topic.
  
"
5.0 out of 5 stars,"







  
  
    I bought it for my 1.5yrs old kid. Book fits well in his hands and its easy for him to play around.Others who have complained about its small size need to understand, these are for kids to flip through and anything bigger would be heavy for them,
  
"
5.0 out of 5 stars,"







  
  
    very engaging for small children. My daughter is 15 months old and she is hooked to these books. they have many pictures and good colour combinations.curvy ends, safe for children. hard bind- not easy to tear off. small size- fits easily in their hands. great variety- 10 books for different subjects.the best part is the deal is cheap for the product of this kind. Checked the label (it says US dollars 20) So definitely for 500 rupees this is nice.
  
"
5.0 out of 5 stars,"







  
  
    Best set of books.I have both the sets i. e. all 20 books and toddlers just love them.They are easy to carry as well and keep toddlers engaged and occupied.They help in keeping kids away from TV and mobiles i. e. gadgets.They also inculcate the good habit of reading from an early age.A great and must buy for parents as it also increases parent-child interaction thus help the bond grow stronger.
  
"
4.0 out of 5 stars,"







  
  
    Very effective picture book for upto 3 year babies.
  
"
5.0 out of 5 stars,"







  
  
    Awesome books.. my 1.5yr old baby loves to read this books... He is able to identify fruits, shapes, colour, vehicles, animals, vegetables, numbers and much more . He also leant all alphabets with the help of this books.. I am so proud and happy after this purchase.. must have for all mothers with the kids of 1-5yrs age group. Quality of the Books is amazing.. overall very happy with this purchase..
  
"
5.0 out of 5 stars,"







  
  
    Everything is just perfect..... Handy and easy to carry anywhere... Bestest 10 bookset for little toddler to hold and have grip in their hands.....toddlers easily get attracted with bright colours and pictures.... Kiddies just loved it..... Thanks to amazon
  
"
4.0 out of 5 stars,"







  
  
    Choose this one since this book has actual picturevrather than a cartoon/comic version or a hand drawn version of the same which kids might have difficulty to relate while looking at real life objects. Anither thing is, this set is prepared keeping in mind US audience. The picture for train isn't relevant, avocado is not an Indian thing, many animals in the books are not found in India. It keeps tour baby engaged because of the vibrant content. Nice buy
  
"
5.0 out of 5 stars,"







  
  
    The quality of these board books is just great. The pictures are aptly represented and the content is great too. I bought it when she was 13 months old and she still loves opening the books every now and then and goes through them. She's picked up quite a lot of stuff from these. Please add them to your collection!
  
"
5.0 out of 5 stars,"







  
  
    One of the best buy. It's of great quality. Nicely designed. The corners are rounded wisely so not to hurt the little ones. Pages are thick enough so little ones can't tear them off easily. Small in size(refer to the images posted by customers before buying) but does it purpose.My 3y old just loves it. It comes with a small box to store all the books after use. Thats also nicely designed.
  
"
5.0 out of 5 stars,"







  
  
    Usually I do not write reviews but just loved this one so thought of writing one. my baby (1.5 year old) loves it, material is very good as well.While buying I read in reviews that the outer cover is not good quality and tears apart easy but it seems they have improved on it. My baby takes out books from it 100 times a day but it's still as is. (Using daily since 1 month)
  
"
2.0 out of 5 stars,"







  
  
    I bought it after seeing its good reviews but really disappointed after getting it. Size is too small to handle the thing even on a single page, some pages having two items to display to save pages
  
"
5.0 out of 5 stars,"







  
  
    Rightly called as the Library with so many books in it. The pages are hard enough to not be torn by your kid. Colours are bright and attractive. I only wish few examples related to Indian context and culture were a part of such books.
  
"
5.0 out of 5 stars,"







  
  
    Very good collection of book.  As it is made of thick material it will not get torn easily. It is colourful. The size of the books are small so it is easy for my 1.5 yrs old toddler to hold it and flip pages.
  
"
4.0 out of 5 stars,"







  
  
    Good quality board books. My 2 year old was really excited seeing it and she loves it. The packing and print quality is also very good. Only thing they could have included nursery rhymes as one book instead of farm animals or wild animals or transport. That is why it is rated 4 stars.
  
"
5.0 out of 5 stars,"







  
  
    Oh my baby loves his library. It’s perfect for my baby. He is just 9month old but still enjoy seeing colourful pictures and playing with these small books that is so handy for him. Good quality with  very clean and clear pictures .
  
"
3.0 out of 5 stars,"







  
  
    Books are very small in size......it will be better if the books were little bigger in size....by the way pages are of very good quality, pictures are very attractive and colourful.....overall i like it..but size matters alot.....
  
"
5.0 out of 5 stars,"







  
  
    It has real photos of things in various categories such as transport, fruits, and the like. This enhances the learning process as the child can see the real thing, not the animated version.
  
"
5.0 out of 5 stars,"







  
  
    THis is a nice set of 10 books, worth for it, in fact a nice gift also for first birthday I assume. Quality is good, we can wipe the pages if required, I wish the pages have bit more thickness.
  
"
4.0 out of 5 stars,"







  
  
    Images and their colors are very natural, paper quality is good and book are handy to be carried easily by kids. But a few vegetable varieties, and their names; some English words , are not common to India. For example, instead of aeroplanes, they have give airplane; and colors teaching book is not attracting my kid interest.
  
"
4.0 out of 5 stars,"







  
  
    Good quality books. Serves its purpose. I had assumed that the box may not be of any use but it is surprisingly good. It does give us the feel of a little library every time baby tries to pull out a book.
  
"
5.0 out of 5 stars,"







  
  
    Good quality. Clear pictures and captions. Very userful to start book habit for babies and start teaching them bacis of fruits vegetables pet and wild animals vehicles etc. Excellent product
  
"
1.0 out of 5 stars,"







  
  
    I had earlier purchased books from same publication but single units at a time. I was hoping for similar quality when I ordered in this collection. But it turned out to be a total disappointment, the binding is extremely poor and doesn't look like its going to last long. The thickness of the pages are also not upto the mark. The finish overall is poor
  
"
4.0 out of 5 stars,"







  
  
    Size of book is small so my 17 month lo can handle it easily.pictures are realistic.corner of book are round so no worry of hurting.box was little damaged but books were in excellent condition.worth the money.loved it.
  
"
5.0 out of 5 stars,"







  
  
    Excellent set of books, my son likes a lot. We are actually happy with the quality of the print, paper etc.. One improvement could be the selection of articles , may be little more indianized for a real-life experience with their learnings. That does not stops me giving 5 star👍👍👍
  
"
5.0 out of 5 stars,"







  
  
    Hi Dear,- Much Needed for Starting of 3 years old  child.- Quality is too good- Attractive colors with Pictures.- My openion it's too small need to increase  size of books.- Well collections with 10 books.- Totally Nice.
  
"
5.0 out of 5 stars,"







  
  
    Oh God !!!!my baby loves to see the images and she can even identify some images and make sound that she knows it before, I can't Express those in words
  
"
4.0 out of 5 stars,"







  
  
    All the books are very attractive. Images give real feel of animals etc. My 10 months old baby enjoys a lot. He spends a lot of time on these books. Good learning for babies. Though the books are easy to use, (corners are soft etc.) by small babies, but still they can torn if used regularly. Then there are chances they might put or swallow small paper parts of book in their mouth. So keep an eye. Otherwise books are very good.
  
"
2.0 out of 5 stars,"







  
  
    Not value for money.Babies get board very soon with one thing.So basically its for elder babies (certainly they don't need this, they are elder).So overall it's very costly.
  
"
5.0 out of 5 stars,"







  
  
    loved it. my daughter likes to play with it(shes just 9months). but she likes to turn the pages and look at pictures.  we are reading with the wild animals book and her animals simultaneously and she loves it.
  
"
5.0 out of 5 stars,"







  
  
    My girl really loved these books. She started observing, speaking more difficult words, she loves farm animals more😄. Very good gift for a kid more than chocolate or biscuits 👍
  
"
5.0 out of 5 stars,"







  
  
    My sister visited us with a toddler niece. I gifted this book set to her and she loved it. These are first set of books for my niece and she got hooked to turn and play with it immediately.Recommend it if you are looking to introduce books to toddlers.
  
"
5.0 out of 5 stars,"







  
  
    Wonderful set. My toddler is 18 months and she loves learning from this. Extremely child friendly and durable. Only issue is the book discussing alphabets has the characters in small and unnecessary images. So my daughter ended up learning those images instead of alphabets
  
"
5.0 out of 5 stars,"







  
  
    Excellent quality and beautiful illustrations. My 2 year old daughter loves it, so does my wife. The only drawback I can say is some of the fruits, vegetables and animals shown in the books are not very common in our country. Overall it is very good gifting option if you have a young child.
  
"
1.0 out of 5 stars,"







  
  
    The quality of pictures in the book is very poor. Also the cover is of very poor quality. My 10 months  son just put the book in his mouth once and the cardboard particles started coming out of cover. Didn't expect quality to be so bad. Even the cardboard box in which this book was delivered was of better quality than book.
  
"
5.0 out of 5 stars,"







  
  
    Its very nice product. Got delivered in 24 hrs. It was valentine gift for my toddler. Books r really good for toddlers, color, quality, all good n at reasonable rate.
  
"
5.0 out of 5 stars,"







  
  
    My little one loved it! Pictures were very detailed and covered all major categories. She flips the pages on her own drawn to it by the attractive pics. The only drawback is that toddlers less than 2 years who tend to put everything in mouth, easily make it wet and it gets torn at the corners.
  
"
5.0 out of 5 stars,"







  
  
    Wonderful Board books for kids which engages them most of the time. I got it for my 1 yr old kid , he enjoys seeing pictures. Quality is too good. Won't tear that much easily. Awesome colours and prints . Highly recommended
  
"
4.0 out of 5 stars,"







  
  
    Love this hard cover book for my 1 year old she loves to pretend read and it’s good for my 4 year old also he can read and spell all the names
  
"
5.0 out of 5 stars,"







  
  
    Good quality, durable product. Our daughter lives the stack of books. Page quality is very good. No fear of cut and bruise from the books. Color is also good.
  
"
5.0 out of 5 stars,"







  
  
    Bought it for Rs.379 as a promotional offer. You may check the current price & afford it. My son really happy when he saw the booklet. Printed in thick sheets. Really awesome.. And images printed somewhere twice.. Overall it's a good educational book to refer kids below 3 yrs..
  
"
4.0 out of 5 stars,"







  
  
    My kid loves this set. Only thing that can be improved is the size.And please don't teach P for Pizza to kids from this age, not advisable
  
"
4.0 out of 5 stars,"







  
  
    These books are very cute and useful...good quality and content..my 16 months girl is very engaged with these books. Size of one books is w3.5/ h4 inches. The only drawback is the box witdh is a little less that the books fits very tightly inside and my baby couldn't pull out the book by herself untill I help her. So my suggestion is to wonder house books please increase box witdh a little so the toddlers can put and take out the books easily from the box.
  
"
1.0 out of 5 stars,"







  
  
    Books are too small than expectations...felt very odd to make our child understand from such a small content. It's a common sense that Babies generally love to have much bigger size which attracts them easily ...color is good otherwise... Overall disappointed.
  
"
4.0 out of 5 stars,"


















    
        

        
        
            
        

        
            
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
        
    
    








  
  
     All 9 out of 10 books quality is good.1 book is torn a bit at bottom(photo attached) ..hard enough but to be careful not to be contact with water or saliva(kids).
  
"
5.0 out of 5 stars,"







  
  
    1. At first impression, the books were really small in size.2. Pictures are clear. These books contain pictures that are relatable and are easy to speak and learn. E.g. C for cat ( not crab)3. As parent,I am not stressed that these books can be torn by the child.this is a big plus for me.
  
"
4.0 out of 5 stars,"







  
  
    Those books are very useful for kids upto 5 years. Every book contains only 10 pages of 10 big colourful real images with names. The only drawback is that some pictures or images are repeated in the pages of different books.
  
"
5.0 out of 5 stars,"







  
  
    This is very good product. My little one learned a lot from this item. She herself brings a book and asks me to teach which is really a good sign. So I would recommend this product to any mom.
  
"
4.0 out of 5 stars,"







  
  
    This is an excellent program for kid. Quality is good. Only thing I would like that it should have Indian touch in it, rather than US. For example it should have Indian fruits , Indian vegetables, Indian vehicles, Indian pets etc in it. Also ‘Bhindi’ should be ‘Lady Finger’ , not Okra
  
"
4.0 out of 5 stars,"







  
  
    It's a good set of 10 books.Pro: Every thing except oneCons: Images in the book should be picked from life around baby. Example: 'B' stands for 'Bear' which is rare for a baby to relate. It could be 'Book' or any othe item which is relatable for a baby.
  
"
3.0 out of 5 stars,"







  
  
    Quality of books are nice..card is not too strong..I got 10 books for 499.that is 50 rs per book..not worth of 50 rs per book..anyway my 3yr old kid loves those books soo much which makes me satisfied..
  
"
4.0 out of 5 stars,"







  
  
    It's great for 2+ kids my son enjoys holding them coz it's very small in size and can be easily fit in his hand but only problem is he didn't like alphabet book as it have one alphabet on each page but on last two pages 8 alphabet are written due to which he loose interest in them.
  
"
1.0 out of 5 stars,"







  
  
    Our 15months baby was able to tear off the pages in couple of days. The quality is below average and glue sticking the pages needs to be of higher quality. Kindly improve the product than fooling customers.
  
"
5.0 out of 5 stars,"







  
  
    Nice collection of introductory board books for toddlers. My 3 month old loves gazing at the pictures. Value for money.
  
"
2.0 out of 5 stars,"







  
  
    Are these books for ants? I thought these would be normal sized books. They're absolutely too tiny for a child to comfortably hold and lack enough content
  
"
5.0 out of 5 stars,"







  
  
    lot more to learn for babies ..my nine months puts it inher mouth which is not safe so giving it to her only after she turns a year..overall good .. its very useful for toddler
  
"
3.0 out of 5 stars,"







  
  
    It's one of the best books basically what I noticed is it's been published for selling in USA and same is being sold in India may be due to Covid ...anyways ...The books are of hard cover. My baby cannot fold or tear pages and it's very small and compact .It has glossy plastic coating making the books sort or water resistant  .It's a buy recommended from my side .Thanks
  
"
5.0 out of 5 stars,"







  
  
    My daughter loves these books. She get excited whenever i show her these books.The pages are thick , so kids cant easily tear. Must try. The images are pretty clear too.
  
"
5.0 out of 5 stars,"







  
  
    This is one of the best things I've bought for my kid. We've been using it for almost 2 years and condition is prettty good. My son isn't 3 yet but now knows names of shapes, colors, etc. I am glad that i purchased this book. Perfect size,  perfect quality,  perfect content.
  
"
3.0 out of 5 stars,"







  
  
    The product is of average quality. After a few days of use the edges of the book are getting easy damaged. Purchased similar product with better quality with same price.
  
"
1.0 out of 5 stars,"







  
  
    Product is good but instead of 10 board books, i received  only 8 and the cover was damaged.Different set received which  is not mentioned  in the list
  
"
4.0 out of 5 stars,"







  
  
    These books are so helpful in the early learning days! At first I’ve got misprinted book. What an amazing customer service and prompt return and replacement! Satisfied and happy customer.
  
"
4.0 out of 5 stars,"







  
  
    great size n weight for a 1 year old to hold in their own hands. Photo quality is good but some choices could have been better. Will definitely order 2nd set soon too
  
"
4.0 out of 5 stars,"







  
  
    Got it for 449 hard strong can be brought for 1+ kids.it has suffered a lot under my kid but u can stick pages.has a lot of content and clear images of things just perfect for 1+ kid
  
"
4.0 out of 5 stars,"







  
  
    It's very small in size. That's is the only thing I felt bad.But it's is useful to kids to start learning and helps them to make  familiar of basics.
  
"
4.0 out of 5 stars,"







  
  
    Liked the quality and reality of the picture. Did not like the wrong depiction of leaves in some fruits. Would be better if the same pictures are not repeated in different books.
  
"
3.0 out of 5 stars,"







  
  
    It is experienced many time that item seen in the picture over AMAZON portal, does not match with actual product.  This time this library book set is like a pocket diary. I have purchased it for a 2 year kid but could not happy after purchase.
  
"
5.0 out of 5 stars,"







  
  
    Very nice and attractive. Kids will love it. So compact and easy to hold. No sharp corner edges of the book so it's easy for the kids to play and it won't hurt them. Just go for it. Advisable for all the the tiny tots of age 1-5
  
"
3.0 out of 5 stars,"







  
  
    Let me clear, Please check the 3-4-6 product image before guessing it's size. In 1 image it's looks like big but it's not,Also in number book number are small and objects are bigSame in colour book black looks like brown and orange looks like yellowProQuality of Book is too good
  
"
